ID_Contrato;Data_Concessao;Cliente_Nome;Estado;Canal_Origem;Tipo_Credito;Valor_Emprestimo_Bruto;Taxa_Juros_Anual;Prazo_Meses;Score_Credito;Renda_Mensal;Dias_Atraso;Status_Contrato
CTR-50001;2023-05-02;Cliente_10001;SC;App Mobile;financiamento imobiliário;865845,71;0,1192;120;822;27032,83;45;Atraso Crítico (31-90d)
CTR-50002;2024-04-05;Cliente_10002;sp;Correspondente Bancário;Financiamento Veicular;57584,82;0,1752;36;705;34989,0;0;Em Dia
CTR-50003;2023-10-27;Cliente_10003; PR ;Correspondente Bancário;Financiamento Imobiliário;851179,85;0,1237;60;345;30129,42;15;Atraso Curto (1-30d)
CTR-50004;2025-06-07;Cliente_10004;RJ;Correspondente Bancário;Empréstimo Empresarial PJ;411147,16;0,2327;48;727;32336,15;0;Em Dia
CTR-50005;26/01/2023;Cliente_10005;CE;Internet Banking;Financiamento Imobiliário;804505,76;0,1379;24;759;18041,29;45;Atraso Crítico (31-90d)
CTR-50006;25/04/2024;Cliente_10006;GO;Agência Física;Empréstimo Empresarial PJ;230936,14;0,2498;60;833;25346,35;0;Em Dia
CTR-50007;2023-06-03;Cliente_10007;DF;Correspondente Bancário;Empréstimo Empresarial PJ;467130,97;0,1668;24;586;25164,73;45;Atraso Crítico (31-90d)
CTR-50008;04/02/2023;Cliente_10008;PR;Agência Física;Cartão de Credito rotativo;18419,42;0,4893;60;585;17493,46;90;Atraso Crítico (31-90d)
CTR-50009;2023-09-30;Cliente_10009;BA;Agência Física;Credito Pessoal;8421,36;0,4113;24;780;32327,38;0;Em Dia
CTR-50010;23/07/2023;Cliente_10010;ES;App Mobile;Empréstimo Empresarial PJ;70096,58;0,191;36;685;7952,35;0;Em Dia
CTR-50011;07/01/2025;Cliente_10011;MG;Internet Banking;Cartão de Credito rotativo;12170,76;0,8333;60;617;5701,86;10;Atraso Curto (1-30d)
CTR-50012;26/02/2024;Cliente_10012;RS;Internet Banking;Empréstimo Empresarial PJ;413108,5;0,1689;12;718;31408,66;0;Em Dia
CTR-50013;06/06/2024;Cliente_10013;BA;Agência Física;Financiamento Veicular;94771,76;0,268;48;797;21291,78;0;Em Dia
CTR-50014;2024-09-04;Cliente_10014;es;App Mobile;Empréstimo Empresarial PJ;229620,68;0,1454;24;366;23743,39;120;Inadimplente / NPL (>90d)
CTR-50015;10/05/2024;Cliente_10015;GO;App Mobile;Financiamento Imobiliário;666521,86;0,097;36;484;24159,13;0;Em Dia
CTR-50016;2023-07-11;Cliente_10016;SC;Internet Banking;Financiamento Veicular;96906,86;0,2799;48;614;17966,41;0;Em Dia
CTR-50017;15/04/2025;Cliente_10017;RJ;Internet Banking;Financiamento Imobiliário;153924,67;0,0901;360;658;16056,08;0;Em Dia
CTR-50018;10/06/2023;Cliente_10018;SC;Internet Banking;Credito Pessoal;22485,89;0,2557;60;539;21234,72;10;Atraso Curto (1-30d)
CTR-50019;22/03/2024;Cliente_10019;MG;App Mobile;Credito Pessoal;27050,72;0,375;24;428;19212,05;15;Atraso Curto (1-30d)
CTR-50020;06/03/2023;Cliente_10020;SP;Correspondente Bancário;Financiamento Veicular;89251,88;0,1422;12;560;3735,29;0;Em Dia
CTR-50021;2025-03-09;Cliente_10021;BA;App Mobile;Cartão de Credito rotativo;7005,21;0,5363;48;756;34331,59;5;Atraso Curto (1-30d)
CTR-50022;2024-02-03;Cliente_10022;PR;Agência Física;crédito pessoal;26267,77;0,2979;12;608;25249,62;0;Em Dia
CTR-50023;2023-11-23;Cliente_10023;ce;App Mobile;Empréstimo Empresarial PJ;480555,54;0,1457;12;435;8187,97;0;Em Dia
CTR-50024;2024-11-02;Cliente_10024;PR;App Mobile;Cartão de Credito rotativo;11984,42;0,5924;48;706;10657,79;0;Em Dia
CTR-50025;15/08/2025;Cliente_10025;PE;Correspondente Bancário;Financiamento Veicular;146923,77;0,172;12;603;20316,8;15;Atraso Curto (1-30d)
