id_contrato;data_concessao;id_cliente;cliente_nome;estado;regiao;canal_origem;tipo_credito;valor_emprestimo;taxa_juros_anual;prazo_meses;score_credito;faixa_score;renda_mensal;parcela_estimada;comprometimento_renda_pct;dias_atraso;status_contrato;categoria_risco;perda_estimada_npl
CTR-50001;2023-05-02;CLI-10001;Cliente_10001;SC;Sul;App Mobile;Financiamento Imobiliário;865845.71;0.1192;120;822;Excelente (750-850);27032.83;12382.36;45.8;45;Atraso Crítico (31-90d);Alto Risco (E/F);216461.43
CTR-50002;2024-04-05;CLI-10002;Cliente_10002;SP;Sudeste;Correspondente Bancário;Financiamento Veicular;57584.82;0.1752;36;705;Bom (650-749);34989.0;2067.99;5.91;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50003;2023-10-27;CLI-10003;Cliente_10003;PR;Sul;Correspondente Bancário;Financiamento Imobiliário;851179.85;0.1237;60;345;Baixo / Alto Risco (<550);30129.42;19093.56;63.37;15;Atraso Curto (1-30d);Risco Moderado (C/D);42558.99
CTR-50004;2025-06-07;CLI-10004;Cliente_10004;RJ;Sudeste;Correspondente Bancário;Empréstimo Empresarial PJ;411147.16;0.2327;48;727;Bom (650-749);32336.15;13238.77;40.94;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50005;2023-01-26;CLI-10005;Cliente_10005;CE;Nordeste;Internet Banking;Financiamento Imobiliário;804505.76;0.1379;24;759;Excelente (750-850);18041.29;38546.88;213.66;45;Atraso Crítico (31-90d);Alto Risco (E/F);201126.44
CTR-50006;2024-04-25;CLI-10006;Cliente_10006;GO;Centro-Oeste;Agência Física;Empréstimo Empresarial PJ;230936.14;0.2498;60;833;Excelente (750-850);25346.35;6775.57;26.73;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50007;2023-06-03;CLI-10007;Cliente_10007;DF;Centro-Oeste;Correspondente Bancário;Empréstimo Empresarial PJ;467130.97;0.1668;24;586;Médio (550-649);25164.73;23024.25;91.49;45;Atraso Crítico (31-90d);Alto Risco (E/F);116782.74
CTR-50008;2023-02-04;CLI-10008;Cliente_10008;PR;Sul;Agência Física;Cartão de Crédito rotativo;18419.42;0.4893;60;585;Médio (550-649);17493.46;826.15;4.72;90;Atraso Crítico (31-90d);Alto Risco (E/F);4604.85
CTR-50009;2023-09-30;CLI-10009;Cliente_10009;BA;Nordeste;Agência Física;Crédito Pessoal;8421.36;0.4113;24;780;Excelente (750-850);32327.38;520.44;1.61;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50010;2023-07-23;CLI-10010;Cliente_10010;ES;Sudeste;App Mobile;Empréstimo Empresarial PJ;70096.58;0.191;36;685;Bom (650-749);7952.35;2573.01;32.36;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50011;2025-01-07;CLI-10011;Cliente_10011;MG;Sudeste;Internet Banking;Cartão de Crédito rotativo;12170.76;0.8333;60;617;Médio (550-649);5701.86;860.48;15.09;10;Atraso Curto (1-30d);Risco Moderado (C/D);608.54
CTR-50012;2024-02-26;CLI-10012;Cliente_10012;RS;Sul;Internet Banking;Empréstimo Empresarial PJ;413108.5;0.1689;12;718;Bom (650-749);31408.66;37655.9;119.89;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50013;2024-06-06;CLI-10013;Cliente_10013;BA;Nordeste;Agência Física;Financiamento Veicular;94771.76;0.268;48;797;Excelente (750-850);21291.78;3238.25;15.21;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50014;2024-09-04;CLI-10014;Cliente_10014;ES;Sudeste;App Mobile;Empréstimo Empresarial PJ;229620.68;0.1454;24;366;Baixo / Alto Risco (<550);23743.39;11083.42;46.68;120;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);183696.54
CTR-50015;2024-05-10;CLI-10015;Cliente_10015;GO;Centro-Oeste;App Mobile;Financiamento Imobiliário;666521.86;0.097;36;484;Baixo / Alto Risco (<550);24159.13;21413.03;88.63;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50016;2023-07-11;CLI-10016;Cliente_10016;SC;Sul;Internet Banking;Financiamento Veicular;96906.86;0.2799;48;614;Médio (550-649);17966.41;3376.86;18.8;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50017;2025-04-15;CLI-10017;Cliente_10017;RJ;Sudeste;Internet Banking;Financiamento Imobiliário;153924.67;0.0901;360;658;Bom (650-749);16056.08;1239.62;7.72;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50018;2023-06-10;CLI-10018;Cliente_10018;SC;Sul;Internet Banking;Crédito Pessoal;22485.89;0.2557;60;539;Baixo / Alto Risco (<550);21234.72;667.53;3.14;10;Atraso Curto (1-30d);Risco Moderado (C/D);1124.29
CTR-50019;2024-03-22;CLI-10019;Cliente_10019;MG;Sudeste;App Mobile;Crédito Pessoal;27050.72;0.375;24;428;Baixo / Alto Risco (<550);19212.05;1618.86;8.43;15;Atraso Curto (1-30d);Risco Moderado (C/D);1352.54
CTR-50020;2023-03-06;CLI-10020;Cliente_10020;SP;Sudeste;Correspondente Bancário;Financiamento Veicular;89251.88;0.1422;12;560;Médio (550-649);3735.29;8022.91;214.79;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50021;2025-03-09;CLI-10021;Cliente_10021;BA;Nordeste;App Mobile;Cartão de Crédito rotativo;7005.21;0.5363;48;756;Excelente (750-850);34331.59;356.83;1.04;5;Atraso Curto (1-30d);Risco Moderado (C/D);350.26
CTR-50022;2024-02-03;CLI-10022;Cliente_10022;PR;Sul;Agência Física;Crédito Pessoal;26267.77;0.2979;12;608;Médio (550-649);25249.62;2558.06;10.13;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50023;2023-11-23;CLI-10023;Cliente_10023;CE;Nordeste;App Mobile;Empréstimo Empresarial PJ;480555.54;0.1457;12;435;Baixo / Alto Risco (<550);8187.97;43276.69;528.54;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50024;2024-11-02;CLI-10024;Cliente_10024;PR;Sul;App Mobile;Cartão de Crédito rotativo;11984.42;0.5924;48;706;Bom (650-749);10657.79;656.61;6.16;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50025;2025-08-15;CLI-10025;Cliente_10025;PE;Nordeste;Correspondente Bancário;Financiamento Veicular;146923.77;0.172;12;603;Médio (550-649);20316.8;13414.1;66.02;15;Atraso Curto (1-30d);Risco Moderado (C/D);7346.19
CTR-50026;2023-07-03;CLI-10026;Cliente_10026;PE;Nordeste;App Mobile;Empréstimo Empresarial PJ;418938.5;0.1643;60;645;Médio (550-649);4800.18;10283.73;214.24;95;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);335150.8
CTR-50027;2024-06-04;CLI-10027;Cliente_10027;MG;Sudeste;Correspondente Bancário;Financiamento Veicular;172404.99;0.1726;36;671;Bom (650-749);30558.82;6169.04;20.19;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50028;2024-11-20;CLI-10028;Cliente_10028;CE;Nordeste;Agência Física;Financiamento Imobiliário;276635.38;0.1076;360;325;Baixo / Alto Risco (<550);33414.16;2584.42;7.73;95;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);221308.3
CTR-50029;2023-03-28;CLI-10029;Cliente_10029;PR;Sul;Agência Física;Empréstimo Empresarial PJ;378953.73;0.1379;12;338;Baixo / Alto Risco (<550);20069.3;33987.73;169.35;95;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);303162.98
CTR-50030;2024-07-05;CLI-10030;Cliente_10030;PE;Nordeste;Internet Banking;Empréstimo Empresarial PJ;97214.66;0.1384;48;661;Bom (650-749);20519.69;2648.74;12.91;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50031;2023-10-30;CLI-10031;Cliente_10031;PE;Nordeste;Agência Física;Financiamento Veicular;45770.74;0.1944;12;811;Excelente (750-850);33054.95;4227.69;12.79;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50032;2025-01-09;CLI-10032;Cliente_10032;PE;Nordeste;App Mobile;Financiamento Imobiliário;401737.75;0.093;12;439;Baixo / Alto Risco (<550);19479.75;35188.47;180.64;120;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);321390.2
CTR-50033;2023-08-10;CLI-10033;Cliente_10033;PE;Nordeste;Internet Banking;Empréstimo Empresarial PJ;324508.37;0.1364;36;816;Excelente (750-850);6436.59;11034.27;171.43;95;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);259606.7
CTR-50034;2023-05-01;CLI-10034;Cliente_10034;SC;Sul;Correspondente Bancário;Cartão de Crédito rotativo;3297.83;0.6576;36;786;Excelente (750-850);32366.02;211.74;0.65;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50035;2025-03-07;CLI-10035;Cliente_10035;PR;Sul;Agência Física;Financiamento Imobiliário;284673.22;0.1088;72;650;Bom (650-749);32027.38;5401.01;16.86;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50036;2023-08-14;CLI-10036;Cliente_10036;GO;Centro-Oeste;Agência Física;Financiamento Veicular;88503.49;0.2525;48;537;Baixo / Alto Risco (<550);7940.11;2946.88;37.11;10;Atraso Curto (1-30d);Risco Moderado (C/D);4425.17
CTR-50037;2023-11-24;CLI-10037;Cliente_10037;PR;Sul;Correspondente Bancário;Financiamento Veicular;47531.16;0.2278;24;659;Bom (650-749);34111.99;2484.18;7.28;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50038;2024-02-15;CLI-10038;Cliente_10038;RS;Sul;App Mobile;Empréstimo Empresarial PJ;372408.03;0.2076;36;417;Baixo / Alto Risco (<550);24733.6;13984.65;56.54;120;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);297926.42
CTR-50039;2024-07-13;CLI-10039;Cliente_10039;PE;Nordeste;Internet Banking;Cartão de Crédito rotativo;7691.05;0.5822;48;497;Baixo / Alto Risco (<550);3336.49;415.94;12.47;45;Atraso Crítico (31-90d);Alto Risco (E/F);1922.76
CTR-50040;2025-03-07;CLI-10040;Cliente_10040;BA;Nordeste;Correspondente Bancário;Financiamento Veicular;26821.87;0.246;12;595;Médio (550-649);13451.64;2544.06;18.91;10;Atraso Curto (1-30d);Risco Moderado (C/D);1341.09
CTR-50041;2024-07-23;CLI-10041;Cliente_10041;GO;Centro-Oeste;Internet Banking;Empréstimo Empresarial PJ;396022.47;0.2477;24;657;Bom (650-749);34114.02;21090.65;61.82;120;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);316817.98
CTR-50042;2024-03-03;CLI-10042;Cliente_10042;GO;Centro-Oeste;Internet Banking;Crédito Pessoal;2934.04;0.4335;12;509;Baixo / Alto Risco (<550);20607.44;305.64;1.48;10;Atraso Curto (1-30d);Risco Moderado (C/D);146.7
CTR-50043;2023-12-18;CLI-10043;Cliente_10043;SC;Sul;Agência Física;Empréstimo Empresarial PJ;265861.59;0.1835;36;576;Médio (550-649);4174.89;9658.28;231.34;45;Atraso Crítico (31-90d);Alto Risco (E/F);66465.4
CTR-50044;2025-02-12;CLI-10044;Cliente_10044;BA;Nordeste;Internet Banking;Financiamento Veicular;67413.39;0.2579;48;631;Médio (550-649);9985.42;2265.04;22.68;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50045;2024-11-29;CLI-10045;Cliente_10045;PE;Nordeste;Agência Física;Cartão de Crédito rotativo;12711.79;0.7912;60;652;Bom (650-749);18655.51;856.71;4.59;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50046;2025-02-16;CLI-10046;Cliente_10046;PR;Sul;Correspondente Bancário;Crédito Pessoal;32541.65;0.4445;12;794;Excelente (750-850);10708.65;3408.13;31.83;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50047;2025-03-05;CLI-10047;Cliente_10047;GO;Centro-Oeste;Correspondente Bancário;Financiamento Imobiliário;597109.94;0.1312;72;692;Bom (650-749);34910.13;12024.3;34.44;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50048;2023-06-06;CLI-10048;Cliente_10048;GO;Centro-Oeste;Internet Banking;Financiamento Imobiliário;787852.31;0.129;12;355;Baixo / Alto Risco (<550);11971.75;70331.86;587.48;15;Atraso Curto (1-30d);Risco Moderado (C/D);39392.62
CTR-50049;2023-05-12;CLI-10049;Cliente_10049;BA;Nordeste;Internet Banking;Financiamento Imobiliário;704384.82;0.1263;36;743;Bom (650-749);23519.2;23608.17;100.38;45;Atraso Crítico (31-90d);Alto Risco (E/F);176096.2
CTR-50050;2024-07-09;CLI-10050;Cliente_10050;RJ;Sudeste;Correspondente Bancário;Cartão de Crédito rotativo;3945.34;0.5798;60;361;Baixo / Alto Risco (<550);18066.79;202.57;1.12;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50051;2023-12-03;CLI-10051;Cliente_10051;SP;Sudeste;Internet Banking;Empréstimo Empresarial PJ;136097.12;0.2261;48;763;Excelente (750-850);9381.94;4333.08;46.19;95;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);108877.7
CTR-50052;2024-07-02;CLI-10052;Cliente_10052;RS;Sul;Correspondente Bancário;Cartão de Crédito rotativo;17267.19;0.732;36;771;Excelente (750-850);32923.91;1195.09;3.63;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50053;2025-02-13;CLI-10053;Cliente_10053;RJ;Sudeste;Agência Física;Empréstimo Empresarial PJ;359559.91;0.135;24;763;Excelente (750-850);9057.58;17178.7;189.66;120;Inadimplente / NPL (>90d);Inadimplência / Loss (G/H);287647.93
CTR-50054;2025-07-24;CLI-10054;Cliente_10054;DF;Centro-Oeste;Agência Física;Financiamento Veicular;139565.57;0.1958;48;791;Excelente (750-850);31375.58;4215.86;13.44;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50055;2024-01-03;CLI-10055;Cliente_10055;BA;Nordeste;Correspondente Bancário;Empréstimo Empresarial PJ;334869.16;0.1263;60;654;Bom (650-749);27156.99;7556.03;27.82;5;Atraso Curto (1-30d);Risco Moderado (C/D);16743.46
CTR-50056;2025-03-26;CLI-10056;Cliente_10056;PE;Nordeste;App Mobile;Financiamento Veicular;70997.49;0.1513;12;391;Baixo / Alto Risco (<550);19884.4;6412.47;32.25;45;Atraso Crítico (31-90d);Alto Risco (E/F);17749.37
CTR-50057;2024-04-12;CLI-10057;Cliente_10057;CE;Nordeste;Correspondente Bancário;Empréstimo Empresarial PJ;59884.86;0.2368;24;347;Baixo / Alto Risco (<550);6364.9;3156.62;49.59;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50058;2023-03-14;CLI-10058;Cliente_10058;CE;Nordeste;App Mobile;Financiamento Veicular;136171.69;0.183;48;567;Médio (550-649);13312.13;4021.42;30.21;35;Atraso Crítico (31-90d);Alto Risco (E/F);34042.92
CTR-50059;2024-03-04;CLI-10059;Cliente_10059;SP;Sudeste;Correspondente Bancário;Financiamento Imobiliário;626550.85;0.1091;24;807;Excelente (750-850);21897.66;29176.01;133.24;45;Atraso Crítico (31-90d);Alto Risco (E/F);156637.71
CTR-50060;2023-02-04;CLI-10060;Cliente_10060;PE;Nordeste;Correspondente Bancário;Financiamento Imobiliário;385737.87;0.1323;72;593;Médio (550-649);27543.55;7790.25;28.28;35;Atraso Crítico (31-90d);Alto Risco (E/F);96434.47
CTR-50061;2024-06-27;CLI-10061;Cliente_10061;RJ;Sudeste;Agência Física;Financiamento Imobiliário;619250.85;0.1155;360;735;Bom (650-749);28848.03;6156.02;21.34;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50062;2023-02-22;CLI-10062;Cliente_10062;PR;Sul;Internet Banking;Empréstimo Empresarial PJ;169875.13;0.1687;36;491;Baixo / Alto Risco (<550);32975.41;6045.53;18.33;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50063;2024-04-03;CLI-10063;Cliente_10063;PE;Nordeste;App Mobile;Financiamento Veicular;173787.33;0.277;48;847;Excelente (750-850);23175.36;6027.07;26.01;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50064;2024-05-08;CLI-10064;Cliente_10064;SP;Sudeste;Agência Física;Crédito Pessoal;7555.28;0.1977;24;327;Baixo / Alto Risco (<550);12180.83;383.68;3.15;45;Atraso Crítico (31-90d);Alto Risco (E/F);1888.82
CTR-50065;2023-06-21;CLI-10065;Cliente_10065;PE;Nordeste;Internet Banking;Cartão de Crédito rotativo;16584.05;0.6667;24;722;Bom (650-749);17848.74;1267.66;7.1;0;Em Dia;Baixo Risco (A/B);0.0
CTR-50066;2024-11-22;CLI-10066;Cliente_10066;CE;Nordeste;Internet Banking;Financiamento Imobiliário;339508.64;0.1158;72;729;Bom (650-749);11925.7;6563.54;55.04;45;Atraso Crítico (31-90d);Alto Risco (E/F);84877.16
